"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"UF",13,16799,0,985,2821,13978,1136,2696,3147,1430,5569,10237,6550,1177,0,762,613,149,463,93,0,1,536,97,85,18,10,4,30,23,62,57,5,9,19,20,1,1
2016,"MUNICIPIO",130000,12,0,0,7,5,1,1,0,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130002,42,0,3,6,36,5,3,9,2,17,28,14,5,0,6,5,1,3,1,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130006,28,0,1,5,23,1,7,6,2,7,18,10,2,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130008,31,0,4,1,30,1,3,9,7,10,16,15,4,0,3,2,1,1,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",130010,42,0,1,3,39,3,5,8,8,15,27,15,1,0,3,2,1,1,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",130014,60,0,2,24,36,1,7,18,3,7,46,14,1,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130020,39,0,5,6,33,6,4,3,4,16,20,19,7,0,4,4,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130030,139,0,9,23,116,12,22,29,11,42,88,51,7,0,5,5,0,3,0,0,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2016,"MUNICIPIO",130040,110,0,8,28,82,10,12,8,8,44,60,50,10,0,27,23,4,6,2,0,0,5,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2016,"MUNICIPIO",130050,102,0,7,18,84,4,8,24,9,39,61,41,7,0,11,10,1,5,0,0,0,8,3,2,0,2,0,0,0,2,1,0,1,0,0,0,0
2016,"MUNICIPIO",130060,114,0,11,18,96,5,14,37,9,31,72,42,9,0,9,8,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130063,40,0,5,0,40,3,9,9,3,16,21,19,5,0,7,6,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130068,60,0,9,10,50,3,6,8,4,29,37,23,6,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130070,151,0,7,19,132,9,14,24,16,69,97,54,11,0,9,7,2,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130080,101,0,12,12,89,7,12,23,5,42,58,43,11,0,9,7,2,4,0,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130083,24,0,0,1,23,2,7,4,2,8,18,6,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2016,"MUNICIPIO",130090,43,0,2,5,38,1,8,8,9,12,27,16,5,0,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130100,118,0,6,16,102,10,3,15,3,71,72,46,6,0,4,1,3,10,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130110,111,0,6,16,95,5,9,22,5,54,79,32,6,0,3,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130115,60,0,1,6,54,3,4,11,3,33,42,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130120,309,0,29,62,247,29,34,78,31,75,193,116,21,0,13,11,2,8,1,0,0,12,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2016,"MUNICIPIO",130130,66,0,2,13,53,3,11,19,7,13,49,17,4,0,4,4,0,2,0,0,0,4,0,2,1,0,1,0,0,2,2,0,0,2,0,0,0
2016,"MUNICIPIO",130140,171,0,15,32,139,13,17,36,21,52,106,65,11,0,22,18,4,12,3,0,0,12,7,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2016,"MUNICIPIO",130150,65,0,4,9,56,4,7,14,5,26,46,19,1,0,8,4,4,5,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130160,77,0,5,7,70,8,7,12,13,30,42,35,2,0,4,4,0,7,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2016,"MUNICIPIO",130165,34,0,4,5,29,1,3,11,6,8,21,13,4,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130170,172,0,23,29,143,7,26,36,26,48,104,68,12,0,10,7,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130180,70,0,3,6,64,5,3,8,4,44,40,29,6,0,6,6,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130185,222,0,12,45,177,13,48,50,10,56,152,70,12,0,6,6,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130190,367,0,15,64,303,17,50,73,27,136,233,134,18,0,17,16,1,6,3,0,0,14,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2016,"MUNICIPIO",130195,18,0,0,0,18,2,2,4,1,9,13,5,0,0,3,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130200,42,0,5,10,32,6,3,10,2,11,29,13,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130210,15,0,1,0,15,1,6,2,1,5,8,7,2,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130220,34,0,3,5,29,5,2,11,2,9,23,11,3,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130230,70,0,1,10,60,4,2,12,6,36,39,31,5,0,7,5,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130240,152,0,2,10,142,5,12,36,5,84,85,67,7,0,11,8,3,9,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130250,412,0,18,82,330,21,68,95,42,104,275,137,24,0,25,18,7,8,3,0,0,22,0,3,1,0,1,1,0,3,3,0,0,1,1,1,0
2016,"MUNICIPIO",130255,57,0,3,10,47,3,12,15,6,11,35,22,3,0,3,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130260,10430,0,581,1781,8649,727,1911,1811,845,3355,6210,4210,774,0,317,238,79,189,48,0,0,243,2,48,6,1,1,21,19,29,29,0,3,11,13,0,1
2016,"MUNICIPIO",130270,168,0,11,24,144,5,18,41,21,59,109,59,12,0,10,9,1,4,4,0,0,4,2,2,0,2,0,0,0,2,2,1,1,0,0,0,0
2016,"MUNICIPIO",130280,19,0,1,1,18,2,3,8,2,3,13,6,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130290,250,0,15,29,221,15,26,36,12,132,165,85,8,0,13,13,0,14,0,0,1,12,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
2016,"MUNICIPIO",130300,57,0,1,7,50,3,13,11,3,20,35,22,5,0,8,7,1,1,1,0,0,6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO",130310,96,0,9,10,86,7,13,19,9,38,64,32,7,0,8,7,1,4,1,0,0,7,0,3,1,1,0,0,1,2,2,0,0,1,1,0,0
2016,"MUNICIPIO",130320,40,0,2,11,29,1,7,6,1,14,29,11,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130330,60,0,7,13,47,2,3,20,3,19,38,22,5,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,2,0,2,0,0,0,0
2016,"MUNICIPIO",130340,433,0,36,63,370,25,57,123,30,135,269,164,17,0,32,30,2,9,1,0,0,31,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
2016,"MUNICIPIO",130350,44,0,1,6,38,2,11,6,6,13,26,18,2,0,4,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130353,125,0,3,37,88,7,19,23,12,27,93,32,6,0,5,4,1,2,0,0,0,5,0,2,1,0,0,1,0,2,2,1,0,1,0,0,0
2016,"MUNICIPIO",130356,72,0,5,17,55,4,7,14,5,25,45,27,6,0,6,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130360,50,0,1,4,46,1,4,13,6,22,31,19,1,0,6,5,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130370,70,0,1,5,65,3,9,12,11,30,38,32,9,0,7,6,1,5,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130380,250,0,17,62,188,39,17,37,28,67,158,92,15,0,18,15,3,26,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130390,90,0,8,13,77,9,9,18,15,26,55,35,4,0,6,4,2,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130395,32,0,0,8,24,2,2,7,3,10,21,11,3,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130400,29,0,1,4,25,1,4,7,5,8,16,13,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130406,239,0,19,40,199,14,29,51,26,79,138,101,20,0,22,16,6,19,4,0,0,9,8,3,0,0,1,1,1,2,2,0,0,0,2,0,0
2016,"MUNICIPIO",130410,61,0,2,5,56,1,12,15,6,22,41,20,5,0,3,2,1,5,1,0,0,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
2016,"MUNICIPIO",130420,239,0,14,38,201,19,31,38,35,78,151,88,18,0,26,24,2,10,7,0,0,16,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
2016,"MUNICIPIO",130423,35,0,2,5,30,1,3,4,4,18,22,13,6,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",130426,36,0,2,5,31,1,5,6,6,13,21,15,1,0,4,4,0,0,1,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2016,"MUNICIPIO",130430,54,0,1,7,47,3,8,14,3,19,40,14,1,0,4,3,1,1,1,0,0,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",130440,40,0,1,3,37,3,4,10,4,16,20,20,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
