"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2016,"UF","13",76703,0,68595,1302,18134,21793,16001,11827,5945,1549,134,12,75383,19,24,30,24.84,6.73,1472,5415,23159,36008,3493,5246,2434,260,53,65445,6763,46720,29219,25798,50905,75551,1069,41,330,688,6994,65109,2636,8053,65109,2636,38,39,40,38.72,2.21,768,26444,8936,7133,28476,5529,71174,49228,27389,70287,4181,86,18470,2222,27565,1807,11859,1349,2590,1060,86,6845,71386,113,4060,456,681,39138,37556,2476,265,54,66105,6828,5764,65758,4846,2938,3248,3560,3222.43,555.48,5414,59429,8927,641,71236,9.61,0.82,364,75563
2016,"MUNICIPIO","130000",25,0,14,1,16,3,2,2,1,0,0,0,24,16,18,21,20.28,5.83,4,0,3,1,0,1,0,0,0,14,7,17,1,18,7,23,0,0,0,0,1,17,1,1,17,1,39,40,40,39.63,1.21,8,1,2,2,2,25,0,12,11,18,5,0,9,0,2,2,0,4,1,0,0,1,25,0,0,0,0,14,11,0,0,0,14,7,2,20,3,2905,3210,3710,3208.88,658.21,4,13,2,1,23,9.58,1.02,1,22
2016,"MUNICIPIO","130002",325,0,305,10,121,101,51,22,17,2,1,0,315,18,21,26,22.27,6.17,5,41,143,120,6,6,3,1,0,246,68,180,141,100,225,319,6,0,1,1,35,260,19,37,260,19,38,39,40,38.78,2.22,8,121,49,28,99,127,198,272,53,324,1,0,81,3,146,1,42,0,1,6,0,36,309,0,14,2,0,178,147,3,1,0,246,68,23,289,13,2984,3250,3510,3216.13,480.96,27,242,35,1,323,9.23,0.73,2,323
2016,"MUNICIPIO","130006",280,0,174,4,73,88,63,29,19,4,0,0,276,19,23,28,24.04,6.14,14,60,109,88,2,4,0,0,0,120,159,162,118,78,202,280,0,2,4,6,40,204,20,52,204,20,37,39,40,38.28,3.27,0,64,25,44,143,22,258,264,15,279,0,1,60,0,144,3,16,0,0,0,1,52,173,0,106,1,0,137,143,0,0,0,120,159,11,261,7,2960,3200,3415,3179.54,419.6,17,215,33,1,178,9.44,0.74,2,278
2016,"MUNICIPIO","130008",182,0,169,1,53,53,40,21,11,2,1,0,181,19,22,28,24.08,6.32,0,22,46,100,2,8,3,1,0,162,15,117,65,57,125,179,2,0,0,0,10,156,12,10,156,12,38,39,40,39.21,1.88,1,50,18,15,90,36,146,134,46,173,5,1,42,5,81,4,25,3,2,2,1,10,165,0,10,0,7,86,96,3,1,0,162,15,7,166,7,3000,3225,3503.75,3247.93,456.51,10,140,17,1,176,9.59,0.69,2,180
2016,"MUNICIPIO","130010",266,0,243,6,79,84,52,29,12,4,0,0,260,19,22,27,23.37,6.12,2,20,92,114,5,8,0,1,0,263,0,117,148,83,183,263,2,0,0,3,26,206,21,29,206,21,38,39,40,38.88,2.41,2,115,26,31,84,25,241,172,94,263,1,0,69,0,117,0,38,1,0,2,0,27,255,1,10,0,0,128,138,0,1,0,265,0,17,233,16,3000,3300,3615,3254.36,552.23,13,194,33,3,255,8.83,0.77,0,265
2016,"MUNICIPIO","130014",211,0,202,5,59,65,46,26,9,1,0,0,206,19,22,27,23.4,5.96,2,20,80,84,7,14,36,6,0,165,2,48,158,87,124,204,6,0,1,1,18,169,19,20,169,19,38.75,39,40,39.05,2.22,2,44,9,5,126,9,202,113,97,178,15,13,46,22,45,17,28,5,9,6,13,14,210,0,1,0,0,107,104,36,6,0,165,2,12,186,13,3068,3350,3667.5,3306.43,583.43,7,164,26,3,207,8.79,0.85,0,211
2016,"MUNICIPIO","130020",380,0,208,16,87,116,76,47,25,7,6,0,364,19,23,29,24.35,7.14,128,71,78,62,2,7,9,5,1,150,208,88,286,75,305,378,2,0,0,8,58,280,26,66,280,26,37,39,40,38.31,2.56,1,173,46,39,105,78,302,338,42,377,3,0,54,6,219,2,22,0,2,2,0,65,224,0,149,7,0,201,179,9,5,1,150,208,31,329,20,2900,3200,3444,3155.29,514.82,29,279,50,0,223,9.61,0.58,1,377
2016,"MUNICIPIO","130030",890,0,761,27,268,260,163,101,55,14,2,0,863,18,22,28,23.54,6.64,14,89,349,393,19,14,42,18,1,438,379,760,119,267,623,885,5,0,0,0,119,720,50,119,720,50,38,39,40,38.65,2.01,7,428,74,79,235,76,814,648,242,866,20,2,199,31,358,37,128,6,14,5,2,107,780,0,97,10,3,457,433,42,18,1,438,379,49,791,50,2990,3255,3538.75,3255.48,493.36,69,697,116,12,769,9.55,0.86,2,887
2016,"MUNICIPIO","130040",496,0,292,14,143,140,99,49,34,11,0,1,476,18,22,28,23.76,6.95,105,27,121,141,4,7,9,2,0,163,322,201,293,149,347,492,4,0,2,4,48,427,15,54,427,15,38,40,40,39.01,2.12,13,235,71,26,83,15,481,418,76,488,8,0,120,12,253,14,39,1,3,4,0,50,283,2,18,12,181,244,252,9,2,0,163,322,37,435,23,2700,3030,3435,3082.53,521.28,105,321,58,2,291,9.86,0.74,1,491
